Response_ID,Survey_Date,Age_Group,Gender,City_Tier,Location,Annual_Income,Occupation,Purchase_Frequency,Annual_Luxury_Spending,Brand_Loyalty_Score,Interest_Handbags,Interest_Watches,Interest_Jewelry,Interest_Fashion,Interest_Shoes,Interest_Cosmetics,Interest_Fragrances,Total_Categories_Interest,Urgency_Frequency,Online_Shopping_Pct,Gratification_Score,WTP_1Hour_Premium,WTP_Percentage,Service_Interest_Score,Likelihood_to_Use,Predicted_Premium_Spend,Customer_Segment
R0121,2025-11-12,45-54,Male,Tier 1 (Metro),Dubai,$300K-$500K,Tech,Every 2-3mo,$15K-$30K,6,0,1,1,0,0,0,0,2,Monthly,74,4,101,10.1,7,Very Likely,606,Aspirational
R0122,2025-10-20,35-44,Male,Tier 2 (Large City),Miami,$75K-$125K,Media,Yearly,<$5K,5,0,0,1,0,0,0,0,1,Monthly,41,5,59,5.9,5,Likely,59,Gifter
R0123,2025-11-11,25-34,Female,Tier 2 (Large City),Sydney,$125K-$200K,Real Estate,Rarely,$15K-$30K,6,0,0,1,1,1,0,0,3,Rarely,94,5,56,5.6,6,Likely,27,Gifter
R0124,2025-11-04,65+,Female,Tier 2 (Large City),Sydney,$200K-$300K,Real Estate,Every 2-3mo,$15K-$30K,5,1,1,1,1,0,0,0,4,Monthly,52,7,83,8.3,6,Likely,498,Aspirational
R0125,2025-10-16,55-64,Female,Tier 1 (Metro),Singapore,$125K-$200K,Consulting,Yearly,$5K-$15K,6,1,1,1,1,1,0,0,5,Rarely,47,5,41,4.1,3,Unlikely,40,Gifter
R0126,2025-10-23,45-54,Female,Tier 1 (Metro),Hong Kong,$75K-$125K,Entrepreneur,Rarely,<$5K,6,1,1,0,1,0,1,0,4,Rarely,22,5,47,4.7,5,Likely,23,Gifter
R0127,2025-11-06,25-34,Female,Tier 3 (Mid-size City),Geneva,$300K-$500K,Media,Monthly,$15K-$30K,6,0,0,1,1,0,1,0,3,2-4x/year,73,7,31,3.1,5,Likely,372,Aspirational
R0128,2025-11-12,55-64,Female,Tier 1 (Metro),Dubai,$75K-$125K,Real Estate,Every 2-3mo,<$5K,8,1,0,1,1,1,0,1,5,Yearly,44,6,0,0.0,6,Likely,0,Digital-First
R0129,2025-10-27,35-44,Female,Tier 3 (Mid-size City),San Francisco,$125K-$200K,Tech,2-4x/year,<$5K,6,1,0,1,1,0,1,0,4,Every 2-3mo,21,5,32,3.2,3,Unlikely,96,Gifter
R0130,2025-11-12,35-44,Male,Tier 2 (Large City),Chicago,$125K-$200K,Consulting,Rarely,<$5K,9,1,0,0,0,1,0,1,3,Every 2-3mo,39,5,35,3.5,7,Very Likely,17,Gifter
R0131,2025-10-25,25-34,Female,Tier 1 (Metro),Dubai,$200K-$300K,Entrepreneur,Every 2-3mo,$30K-$50K,2,1,1,0,1,0,1,0,4,Monthly,83,8,82,8.2,6,Likely,491,Aspirational
R0132,2025-11-07,35-44,Male,Tier 1 (Metro),Dubai,$1M+,Tech,Every 2-3mo,$250K+,6,1,0,0,0,0,1,1,3,Multiple/mo,24,5,123,12.3,9,Definitely,738,Ultra-HNW
R0133,2025-11-14,45-54,Male,Tier 2 (Large City),Miami,Under $75K,Tech,2-4x/year,<$5K,6,1,0,0,1,0,0,0,2,Rarely,22,5,33,3.3,5,Likely,99,Gifter
R0134,2025-11-11,25-34,Male,Tier 3 (Mid-size City),San Francisco,$125K-$200K,Entrepreneur,Every 2-3mo,<$5K,8,1,0,1,1,0,0,0,3,2-4x/year,62,2,0,0.0,4,Possibly,0,Digital-First
R0135,2025-11-05,35-44,Male,Tier 2 (Large City),Sydney,$300K-$500K,Real Estate,2-4x/year,$50K-$100K,7,0,1,0,1,0,0,0,2,Monthly,29,6,95,9.5,6,Likely,285,Affluent Pro
R0136,2025-11-09,55-64,Female,Tier 2 (Large City),Miami,$500K-$1M,Real Estate,Every 2-3mo,$100K-$250K,6,1,0,0,0,0,1,1,3,Monthly,44,5,84,8.4,5,Likely,504,Ultra-HNW
R0137,2025-11-05,35-44,Female,Tier 1 (Metro),Singapore,$125K-$200K,Tech,Monthly,<$5K,4,1,1,0,0,0,0,1,3,Every 2-3mo,63,4,53,5.3,5,Likely,636,Digital-First
R0138,2025-10-20,55-64,Male,Tier 1 (Metro),Los Angeles,$75K-$125K,Luxury Retail,Monthly,<$5K,4,0,1,0,1,0,1,0,3,2-4x/year,56,7,63,6.3,7,Very Likely,756,Digital-First
R0139,2025-10-24,45-54,Male,Tier 1 (Metro),Singapore,$75K-$125K,Healthcare,2-4x/year,$5K-$15K,8,1,1,0,1,0,0,0,3,Every 2-3mo,63,6,26,2.6,4,Possibly,78,Gifter
R0140,2025-10-18,45-54,Male,Tier 1 (Metro),New York,Under $75K,Legal,Every 2-3mo,<$5K,5,0,1,0,1,0,0,1,3,Multiple/mo,32,4,64,6.4,6,Likely,384,Digital-First
R0141,2025-10-30,55-64,Female,Tier 2 (Large City),Toronto,Under $75K,Legal,2-4x/year,<$5K,7,1,0,0,1,0,1,0,3,Multiple/mo,60,3,16,1.6,3,Unlikely,48,Gifter
R0142,2025-10-20,25-34,Female,Tier 2 (Large City),Miami,$125K-$200K,Healthcare,Every 2-3mo,$5K-$15K,4,1,0,1,0,1,0,0,3,Every 2-3mo,56,8,48,4.8,7,Very Likely,288,Digital-First
R0143,2025-11-09,25-34,Female,Tier 1 (Metro),Dubai,$200K-$300K,Finance,2-4x/year,$15K-$30K,5,1,1,1,0,1,1,0,5,Monthly,77,5,96,9.6,5,Likely,288,Aspirational
R0144,2025-11-10,25-34,Female,Tier 2 (Large City),Sydney,$200K-$300K,Consulting,2-4x/year,$30K-$50K,7,1,1,1,1,0,1,0,5,Every 2-3mo,72,7,58,5.8,6,Likely,174,Aspirational
R0145,2025-10-31,35-44,Male,Tier 2 (Large City),Toronto,$75K-$125K,Tech,Rarely,<$5K,6,1,0,0,0,0,0,0,1,2-4x/year,80,5,6,0.6,3,Unlikely,3,Gifter
R0146,2025-10-31,35-44,Male,Tier 2 (Large City),Chicago,$200K-$300K,Media,Every 2-3mo,$15K-$30K,5,0,1,0,0,0,1,0,2,2-4x/year,41,4,21,2.1,2,Unlikely,126,Aspirational
R0147,2025-10-22,35-44,Male,Tier 1 (Metro),Dubai,$300K-$500K,Other,Every 2-3mo,$15K-$30K,8,0,0,1,0,1,0,0,2,2-4x/year,10,6,51,5.1,7,Very Likely,306,Aspirational
R0148,2025-10-27,45-54,Male,Tier 1 (Metro),New York,$300K-$500K,Entrepreneur,Yearly,$15K-$30K,5,1,0,1,1,0,0,0,3,Every 2-3mo,63,6,85,8.5,7,Very Likely,85,Aspirational
R0149,2025-11-02,25-34,Male,Tier 2 (Large City),Chicago,$75K-$125K,Entrepreneur,Yearly,$5K-$15K,5,0,1,1,1,1,0,1,5,2-4x/year,62,6,37,3.7,5,Likely,37,Gifter
R0150,2025-10-18,55-64,Male,Tier 3 (Mid-size City),San Francisco,Under $75K,Healthcare,Monthly,<$5K,6,1,1,0,1,0,0,0,3,Multiple/mo,54,2,41,4.1,5,Likely,491,Digital-First
R0151,2025-10-20,25-34,Male,Tier 1 (Metro),Dubai,$300K-$500K,Legal,2-4x/year,$15K-$30K,8,0,1,1,0,1,0,0,3,Every 2-3mo,48,6,69,6.9,6,Likely,207,Aspirational
R0152,2025-10-29,55-64,Female,Tier 2 (Large City),Miami,$125K-$200K,Healthcare,Yearly,$15K-$30K,9,1,0,0,0,0,0,0,1,2-4x/year,42,3,28,2.8,4,Possibly,27,Gifter
R0153,2025-10-24,35-44,Female,Tier 1 (Metro),Singapore,$300K-$500K,Tech,Every 2-3mo,$15K-$30K,5,1,1,0,0,0,0,1,3,Monthly,55,4,111,11.1,6,Likely,666,Aspirational
R0154,2025-10-17,18-24,Female,Tier 1 (Metro),Hong Kong,$200K-$300K,Entrepreneur,2-4x/year,$5K-$15K,6,0,0,1,0,0,0,0,1,Every 2-3mo,54,6,82,8.2,6,Likely,245,Aspirational
R0155,2025-10-25,55-64,Other,Tier 1 (Metro),Hong Kong,$125K-$200K,Luxury Retail,Yearly,<$5K,6,1,0,1,1,0,0,0,3,Multiple/mo,66,5,76,7.6,8,Definitely,76,Gifter
R0156,2025-11-09,35-44,Male,Tier 1 (Metro),Hong Kong,$500K-$1M,Healthcare,Every 2-3mo,$100K-$250K,8,0,1,0,1,1,0,0,3,Every 2-3mo,40,1,93,9.3,10,Definitely,558,Ultra-HNW
R0157,2025-11-01,45-54,Male,Tier 1 (Metro),Los Angeles,$200K-$300K,Entrepreneur,2-3x/month,$30K-$50K,6,0,0,0,1,1,0,0,2,Monthly,25,4,102,10.2,8,Definitely,3060,Aspirational
R0158,2025-10-17,25-34,Female,Tier 1 (Metro),London,$200K-$300K,Entrepreneur,2-4x/year,$15K-$30K,7,0,0,0,0,0,0,0,0,Monthly,58,6,99,9.9,8,Definitely,297,Aspirational
R0159,2025-11-03,35-44,Male,Tier 2 (Large City),Sydney,$75K-$125K,Media,2-4x/year,<$5K,7,0,1,1,1,0,0,0,3,Rarely,37,4,24,2.4,2,Unlikely,72,Gifter
R0160,2025-11-01,55-64,Female,Tier 3 (Mid-size City),San Francisco,$200K-$300K,Entrepreneur,Every 2-3mo,$15K-$30K,3,1,0,1,1,1,1,0,5,Yearly,44,5,48,4.8,4,Possibly,288,Aspirational
R0161,2025-10-25,45-54,Male,Tier 1 (Metro),Los Angeles,$200K-$300K,Tech,Every 2-3mo,$5K-$15K,7,1,1,0,1,1,1,1,6,Yearly,67,5,49,4.9,7,Very Likely,294,Aspirational
R0162,2025-11-08,35-44,Male,Tier 2 (Large City),Sydney,$125K-$200K,Other,2-4x/year,$5K-$15K,4,1,1,0,0,0,1,1,4,2-4x/year,44,8,58,5.8,6,Likely,174,Gifter
R0163,2025-11-13,25-34,Female,Tier 1 (Metro),Dubai,$125K-$200K,Legal,Rarely,<$5K,8,1,0,1,0,1,0,1,4,2-4x/year,89,5,22,2.2,3,Unlikely,11,Gifter
R0164,2025-11-11,55-64,Female,Tier 2 (Large City),Toronto,$200K-$300K,Finance,Monthly,$30K-$50K,5,0,0,1,0,0,1,0,2,Multiple/mo,47,1,97,9.7,8,Definitely,1163,Aspirational
R0165,2025-10-28,18-24,Female,Tier 2 (Large City),Sydney,$125K-$200K,Tech,Every 2-3mo,<$5K,5,1,0,1,1,1,1,0,5,2-4x/year,61,9,36,3.6,5,Likely,216,Digital-First
R0166,2025-10-31,35-44,Female,Tier 3 (Mid-size City),Geneva,$125K-$200K,Entrepreneur,Every 2-3mo,<$5K,4,0,1,0,1,0,1,0,3,Monthly,23,6,33,3.3,6,Likely,198,Digital-First
R0167,2025-10-29,35-44,Female,Tier 3 (Mid-size City),Geneva,$75K-$125K,Finance,2-4x/year,<$5K,7,1,0,1,0,0,0,0,2,Monthly,35,7,47,4.7,4,Possibly,141,Gifter
R0168,2025-10-18,35-44,Male,Tier 1 (Metro),Dubai,$300K-$500K,Real Estate,Monthly,$30K-$50K,4,0,1,0,1,0,1,0,3,2-4x/year,14,7,85,8.5,7,Very Likely,1020,Affluent Pro
R0169,2025-10-30,35-44,Male,Tier 1 (Metro),New York,$75K-$125K,Other,2-4x/year,<$5K,4,0,1,0,1,0,0,0,2,Yearly,49,6,37,3.7,6,Likely,111,Gifter
R0170,2025-10-17,45-54,Male,Tier 3 (Mid-size City),Geneva,$125K-$200K,Healthcare,Yearly,$15K-$30K,7,1,1,1,1,0,0,0,4,Yearly,38,5,4,0.4,2,Unlikely,4,Gifter
R0171,2025-10-23,35-44,Male,Tier 2 (Large City),Miami,$200K-$300K,Legal,Every 2-3mo,$15K-$30K,5,0,0,0,0,0,0,0,0,Every 2-3mo,55,5,57,5.7,6,Likely,342,Aspirational
R0172,2025-10-26,35-44,Male,Tier 2 (Large City),Chicago,Under $75K,Legal,Yearly,<$5K,4,0,1,1,1,0,1,0,4,Yearly,44,5,13,1.3,2,Unlikely,13,Gifter
R0173,2025-11-07,18-24,Female,Tier 1 (Metro),Hong Kong,$200K-$300K,Tech,Every 2-3mo,$15K-$30K,6,1,0,0,1,1,1,1,5,Yearly,71,7,46,4.6,3,Unlikely,276,Aspirational
R0174,2025-11-03,55-64,Female,Tier 1 (Metro),New York,$75K-$125K,Tech,2-3x/month,<$5K,6,0,0,0,1,0,1,1,3,2-4x/year,45,5,29,2.9,3,Unlikely,869,Digital-First
R0175,2025-10-19,25-34,Female,Tier 3 (Mid-size City),Geneva,$200K-$300K,Real Estate,Monthly,$30K-$50K,8,0,0,0,1,1,1,0,3,2-4x/year,59,5,38,3.8,5,Likely,456,Aspirational
R0176,2025-10-28,18-24,Female,Tier 1 (Metro),Los Angeles,$75K-$125K,Consulting,2-4x/year,<$5K,5,1,0,1,1,0,1,0,4,Every 2-3mo,47,4,45,4.5,4,Possibly,135,Gifter
R0177,2025-11-11,45-54,Male,Tier 2 (Large City),Toronto,$500K-$1M,Real Estate,Weekly,$50K-$100K,6,0,1,0,1,0,1,0,3,Monthly,41,6,104,10.4,8,Definitely,5408,Affluent Pro
R0178,2025-10-16,35-44,Male,Tier 1 (Metro),Singapore,$500K-$1M,Healthcare,2-3x/month,$50K-$100K,8,0,1,0,1,0,0,0,2,Multiple/mo,25,7,111,11.1,6,Likely,3330,Affluent Pro
R0179,2025-11-12,45-54,Male,Tier 2 (Large City),Toronto,$300K-$500K,Consulting,2-3x/month,$30K-$50K,8,1,1,1,1,1,0,0,5,Every 2-3mo,36,4,50,5.0,7,Very Likely,1500,Affluent Pro
R0180,2025-11-11,18-24,Female,Tier 1 (Metro),Dubai,$125K-$200K,Tech,2-4x/year,<$5K,6,1,1,1,0,0,0,1,4,2-4x/year,47,5,24,2.4,1,Unlikely,72,Gifter
R0181,2025-11-09,55-64,Female,Tier 1 (Metro),Dubai,Under $75K,Real Estate,Every 2-3mo,<$5K,6,1,0,0,1,1,1,1,5,2-4x/year,33,6,45,4.5,5,Likely,270,Digital-First
R0182,2025-11-11,35-44,Male,Tier 1 (Metro),Los Angeles,$75K-$125K,Finance,2-4x/year,$5K-$15K,5,0,1,0,1,1,1,1,5,Monthly,57,5,53,5.3,6,Likely,159,Gifter
R0183,2025-10-22,25-34,Male,Tier 2 (Large City),Toronto,$125K-$200K,Real Estate,Every 2-3mo,$5K-$15K,6,0,1,1,1,0,0,0,3,Rarely,58,5,42,4.2,8,Very Likely,252,Digital-First
R0184,2025-11-03,45-54,Female,Tier 1 (Metro),Hong Kong,$200K-$300K,Tech,2-3x/month,$5K-$15K,4,0,1,0,1,0,0,1,3,Every 2-3mo,33,6,78,7.8,7,Very Likely,2340,Aspirational
R0185,2025-10-20,25-34,Female,Tier 3 (Mid-size City),San Francisco,$200K-$300K,Legal,Every 2-3mo,$15K-$30K,7,1,0,0,1,0,1,1,4,2-4x/year,64,7,16,1.6,1,Unlikely,96,Aspirational
R0186,2025-10-22,18-24,Male,Tier 1 (Metro),Dubai,$125K-$200K,Entrepreneur,2-4x/year,$5K-$15K,5,1,0,0,1,0,0,0,2,2-4x/year,39,8,52,5.2,7,Very Likely,156,Gifter
R0187,2025-11-10,55-64,Other,Tier 2 (Large City),Toronto,$200K-$300K,Consulting,2-4x/year,$5K-$15K,6,0,1,0,1,0,1,1,4,Every 2-3mo,61,5,46,4.6,5,Likely,138,Aspirational
R0188,2025-10-18,25-34,Male,Tier 2 (Large City),Toronto,$125K-$200K,Consulting,2-3x/month,$15K-$30K,1,1,1,1,0,0,0,0,3,2-4x/year,66,4,41,4.1,3,Unlikely,1229,Digital-First
R0189,2025-10-19,25-34,Male,Tier 1 (Metro),Dubai,$75K-$125K,Finance,Rarely,$5K-$15K,7,0,1,0,1,1,0,0,3,2-4x/year,66,5,29,2.9,1,Unlikely,14,Gifter
R0190,2025-10-27,25-34,Female,Tier 1 (Metro),Dubai,$125K-$200K,Other,Monthly,$15K-$30K,6,1,1,1,1,0,0,1,5,Monthly,95,5,47,4.7,5,Likely,564,Digital-First
R0191,2025-11-01,55-64,Other,Tier 1 (Metro),Singapore,Under $75K,Tech,Rarely,<$5K,8,1,1,0,0,0,0,0,2,Every 2-3mo,44,4,82,8.2,9,Definitely,40,Gifter
R0192,2025-10-21,35-44,Female,Tier 2 (Large City),Chicago,$125K-$200K,Finance,Yearly,$5K-$15K,4,1,0,0,0,0,1,0,2,2-4x/year,35,6,0,0.0,4,Possibly,0,Gifter
R0193,2025-11-08,25-34,Male,Tier 2 (Large City),Miami,$75K-$125K,Healthcare,Monthly,<$5K,4,1,0,0,1,0,0,0,2,Monthly,39,7,46,4.6,5,Likely,552,Digital-First
R0194,2025-10-21,35-44,Male,Tier 3 (Mid-size City),San Francisco,$75K-$125K,Healthcare,Every 2-3mo,<$5K,4,0,0,1,1,1,1,1,5,Every 2-3mo,49,1,48,4.8,7,Very Likely,288,Digital-First
R0195,2025-10-21,35-44,Male,Tier 1 (Metro),London,$200K-$300K,Legal,2-3x/month,$15K-$30K,7,0,1,0,0,0,0,1,2,Rarely,67,5,12,1.2,3,Unlikely,360,Aspirational
R0196,2025-10-19,55-64,Male,Tier 2 (Large City),Miami,Under $75K,Other,Monthly,<$5K,5,1,1,0,0,1,1,1,5,Monthly,69,4,41,4.1,3,Unlikely,491,Digital-First
R0197,2025-11-08,45-54,Male,Tier 2 (Large City),Miami,$75K-$125K,Consulting,2-4x/year,$5K-$15K,3,0,1,0,1,0,0,1,3,Monthly,71,7,53,5.3,4,Possibly,159,Gifter
R0198,2025-11-06,35-44,Female,Tier 1 (Metro),London,$125K-$200K,Tech,2-4x/year,$5K-$15K,6,1,0,0,0,1,1,0,3,Multiple/mo,45,4,63,6.3,6,Likely,189,Gifter
R0199,2025-10-21,45-54,Female,Tier 1 (Metro),Singapore,$500K-$1M,Consulting,Monthly,$30K-$50K,8,1,0,0,0,0,0,0,1,Monthly,18,6,99,9.9,10,Definitely,1188,Affluent Pro
R0200,2025-11-02,25-34,Male,Tier 2 (Large City),Chicago,$125K-$200K,Finance,Every 2-3mo,$5K-$15K,4,0,1,0,0,0,1,0,2,Monthly,67,5,51,5.1,4,Possibly,306,Digital-First
R0201,2025-10-19,35-44,Female,Tier 1 (Metro),Los Angeles,$300K-$500K,Real Estate,2-4x/year,$50K-$100K,7,0,1,0,1,0,1,0,3,Every 2-3mo,39,5,103,10.3,8,Definitely,309,Affluent Pro
R0202,2025-11-09,25-34,Male,Tier 3 (Mid-size City),San Francisco,$75K-$125K,Healthcare,2-4x/year,<$5K,6,0,1,1,0,0,0,1,3,2-4x/year,39,9,36,3.6,4,Possibly,108,Gifter
R0203,2025-10-30,35-44,Female,Tier 1 (Metro),Singapore,$1M+,Tech,2-3x/month,$50K-$100K,10,1,1,0,1,1,0,0,4,Monthly,24,7,146,14.6,9,Definitely,4380,Affluent Pro
R0204,2025-11-12,25-34,Male,Tier 1 (Metro),Singapore,$125K-$200K,Legal,2-4x/year,<$5K,7,1,1,0,1,1,1,1,6,Monthly,54,6,46,4.6,5,Likely,138,Gifter
R0205,2025-10-30,55-64,Male,Tier 1 (Metro),Dubai,$75K-$125K,Legal,Every 2-3mo,<$5K,5,0,0,0,1,1,1,1,4,Every 2-3mo,64,8,89,8.9,9,Definitely,534,Digital-First
R0206,2025-10-17,25-34,Female,Tier 2 (Large City),Chicago,$125K-$200K,Tech,2-4x/year,<$5K,4,1,1,0,1,1,1,0,5,2-4x/year,79,8,42,4.2,5,Likely,126,Gifter
R0207,2025-10-21,55-64,Other,Tier 2 (Large City),Toronto,$75K-$125K,Real Estate,Every 2-3mo,<$5K,5,1,0,1,0,0,0,0,2,Yearly,24,4,8,0.8,4,Possibly,48,Digital-First
R0208,2025-10-31,25-34,Male,Tier 1 (Metro),Hong Kong,$200K-$300K,Media,Every 2-3mo,$15K-$30K,5,0,1,1,1,1,0,0,4,Multiple/mo,77,6,81,8.1,8,Definitely,486,Aspirational
R0209,2025-10-17,45-54,Female,Tier 2 (Large City),Chicago,$200K-$300K,Real Estate,Weekly,$5K-$15K,6,1,1,1,0,0,1,0,4,Yearly,34,3,41,4.1,5,Likely,2131,Aspirational
R0210,2025-10-24,35-44,Male,Tier 2 (Large City),Toronto,$125K-$200K,Finance,Every 2-3mo,$15K-$30K,6,1,1,0,1,0,1,0,4,Yearly,59,3,8,0.8,3,Unlikely,48,Digital-First
R0211,2025-10-17,35-44,Female,Tier 1 (Metro),London,$1M+,Tech,Weekly,$250K+,7,1,1,0,0,0,1,0,3,2-4x/year,39,4,99,9.9,8,Definitely,5148,Ultra-HNW
R0212,2025-10-17,55-64,Male,Tier 1 (Metro),Dubai,$75K-$125K,Healthcare,Yearly,$5K-$15K,7,1,1,0,1,0,0,0,3,Monthly,45,5,62,6.2,4,Possibly,62,Gifter
R0213,2025-10-25,35-44,Male,Tier 3 (Mid-size City),San Francisco,$75K-$125K,Healthcare,Monthly,$5K-$15K,5,0,1,0,1,0,1,0,3,2-4x/year,43,2,0,0.0,4,Possibly,0,Digital-First
R0214,2025-11-14,45-54,Female,Tier 1 (Metro),New York,$200K-$300K,Consulting,Monthly,$5K-$15K,5,1,0,0,1,0,1,1,4,Yearly,57,6,55,5.5,7,Very Likely,660,Aspirational
R0215,2025-10-24,45-54,Male,Tier 1 (Metro),London,$200K-$300K,Real Estate,2-4x/year,$5K-$15K,6,1,1,0,1,0,1,0,4,2-4x/year,47,6,58,5.8,6,Likely,174,Aspirational
R0216,2025-10-22,18-24,Female,Tier 1 (Metro),London,$300K-$500K,Tech,Every 2-3mo,$30K-$50K,7,1,0,0,0,1,0,0,2,Multiple/mo,43,6,82,8.2,8,Definitely,491,Affluent Pro
R0217,2025-10-21,25-34,Other,Tier 3 (Mid-size City),San Francisco,$125K-$200K,Finance,Every 2-3mo,$15K-$30K,4,0,0,0,0,0,1,0,1,Rarely,34,8,22,2.2,1,Unlikely,132,Digital-First
R0218,2025-11-01,25-34,Female,Tier 1 (Metro),Dubai,$500K-$1M,Finance,2-3x/month,$30K-$50K,8,1,0,1,0,1,1,0,4,Yearly,62,7,65,6.5,6,Likely,1950,Affluent Pro
R0219,2025-10-20,65+,Female,Tier 1 (Metro),London,$200K-$300K,Finance,Every 2-3mo,$15K-$30K,4,1,1,0,0,1,1,0,4,Every 2-3mo,71,6,80,8.0,7,Very Likely,480,Aspirational
R0220,2025-11-13,25-34,Other,Tier 1 (Metro),Singapore,$200K-$300K,Entrepreneur,Every 2-3mo,$5K-$15K,9,1,0,0,0,0,0,1,2,Every 2-3mo,80,3,50,5.0,7,Very Likely,300,Aspirational
R0221,2025-10-21,45-54,Female,Tier 1 (Metro),New York,$125K-$200K,Tech,Every 2-3mo,<$5K,8,0,1,0,1,1,1,0,4,Monthly,47,3,57,5.7,9,Definitely,342,Digital-First
R0222,2025-11-05,45-54,Male,Tier 1 (Metro),Hong Kong,$300K-$500K,Tech,Every 2-3mo,$15K-$30K,7,0,1,1,0,1,1,0,4,2-4x/year,30,7,39,3.9,4,Possibly,234,Aspirational
R0223,2025-10-28,35-44,Male,Tier 1 (Metro),Hong Kong,$300K-$500K,Tech,Yearly,$15K-$30K,7,0,1,0,1,1,0,1,4,2-4x/year,42,5,76,7.6,6,Likely,76,Aspirational
R0224,2025-11-07,55-64,Male,Tier 3 (Mid-size City),San Francisco,$200K-$300K,Entrepreneur,2-4x/year,$30K-$50K,6,0,0,0,0,0,0,0,0,2-4x/year,39,4,32,3.2,4,Possibly,96,Aspirational
R0225,2025-10-20,45-54,Male,Tier 2 (Large City),Sydney,$200K-$300K,Tech,2-3x/month,$15K-$30K,7,0,1,0,0,0,0,0,1,Yearly,32,8,58,5.8,6,Likely,1739,Aspirational
R0226,2025-11-11,35-44,Male,Tier 1 (Metro),Los Angeles,$1M+,Tech,Every 2-3mo,$100K-$250K,4,1,0,0,0,0,0,0,1,Monthly,51,5,110,11.0,10,Definitely,660,Ultra-HNW
R0227,2025-11-07,25-34,Male,Tier 2 (Large City),Miami,$125K-$200K,Finance,2-4x/year,$15K-$30K,7,1,0,0,1,0,1,0,3,2-4x/year,59,4,27,2.7,3,Unlikely,81,Gifter
R0228,2025-11-13,55-64,Female,Tier 1 (Metro),Singapore,$200K-$300K,Finance,2-3x/month,$15K-$30K,3,1,0,1,1,0,1,0,4,Monthly,66,2,76,7.6,6,Likely,2280,Aspirational
R0229,2025-11-09,25-34,Male,Tier 1 (Metro),New York,$200K-$300K,Healthcare,Every 2-3mo,$30K-$50K,7,0,1,0,1,0,0,0,2,Yearly,55,6,62,6.2,7,Very Likely,372,Aspirational
R0230,2025-11-05,18-24,Female,Tier 1 (Metro),Singapore,Under $75K,Legal,Yearly,<$5K,4,1,0,0,0,1,1,0,3,Monthly,54,5,83,8.3,7,Very Likely,83,Gifter
R0231,2025-11-04,45-54,Male,Tier 1 (Metro),Dubai,$200K-$300K,Healthcare,2-4x/year,$30K-$50K,8,1,1,1,1,0,0,0,4,Every 2-3mo,41,4,52,5.2,8,Definitely,156,Aspirational
R0232,2025-11-12,55-64,Female,Tier 2 (Large City),Chicago,$200K-$300K,Tech,Every 2-3mo,$5K-$15K,5,1,1,1,1,1,1,1,7,Monthly,26,5,57,5.7,5,Likely,342,Aspirational
R0233,2025-10-28,55-64,Female,Tier 2 (Large City),Sydney,$500K-$1M,Media,Monthly,$30K-$50K,5,1,0,0,1,0,0,0,2,2-4x/year,47,7,69,6.9,5,Likely,828,Affluent Pro
R0234,2025-11-11,55-64,Female,Tier 2 (Large City),Sydney,$200K-$300K,Tech,Monthly,$5K-$15K,6,1,1,0,0,0,1,1,4,Every 2-3mo,39,5,47,4.7,5,Likely,564,Aspirational
R0235,2025-11-07,55-64,Female,Tier 1 (Metro),Dubai,$125K-$200K,Entrepreneur,Yearly,<$5K,7,1,0,1,0,0,0,0,2,Every 2-3mo,46,4,53,5.3,7,Very Likely,53,Gifter
R0236,2025-11-11,55-64,Other,Tier 1 (Metro),Singapore,$125K-$200K,Healthcare,Every 2-3mo,$5K-$15K,4,1,0,0,0,0,1,0,2,Every 2-3mo,41,5,67,6.7,5,Likely,402,Digital-First
R0237,2025-10-29,35-44,Male,Tier 1 (Metro),Dubai,$125K-$200K,Finance,Every 2-3mo,$5K-$15K,8,1,0,0,0,0,1,0,2,Yearly,27,4,28,2.8,2,Unlikely,167,Digital-First
R0238,2025-11-03,45-54,Female,Tier 1 (Metro),London,$300K-$500K,Entrepreneur,Every 2-3mo,$30K-$50K,7,1,0,0,1,0,1,0,3,2-4x/year,33,5,32,3.2,7,Very Likely,192,Affluent Pro
R0239,2025-11-10,25-34,Female,Tier 2 (Large City),Toronto,$300K-$500K,Tech,Every 2-3mo,$15K-$30K,8,1,1,1,1,0,1,1,6,Monthly,63,8,92,9.2,7,Very Likely,552,Aspirational
R0240,2025-11-05,35-44,Male,Tier 1 (Metro),London,$300K-$500K,Finance,Rarely,$30K-$50K,6,1,1,1,0,1,0,0,4,Every 2-3mo,42,7,54,5.4,9,Definitely,27,Affluent Pro
R0241,2025-11-02,35-44,Female,Tier 2 (Large City),Toronto,$200K-$300K,Consulting,Rarely,$30K-$50K,6,0,1,0,1,0,0,0,2,2-4x/year,35,4,52,5.2,8,Definitely,26,Aspirational
R0242,2025-10-29,35-44,Male,Tier 1 (Metro),Hong Kong,$500K-$1M,Healthcare,Every 2-3mo,$50K-$100K,6,1,1,0,1,0,0,1,4,Monthly,45,7,132,13.2,6,Likely,792,Affluent Pro
R0243,2025-11-02,25-34,Female,Tier 3 (Mid-size City),San Francisco,$200K-$300K,Healthcare,Monthly,$15K-$30K,5,1,1,0,1,0,0,1,4,Yearly,60,6,32,3.2,7,Very Likely,384,Aspirational
